Trait	Block	Hybrid	MPH
MLL	2	JING724/J92	34.80055021
TLW	2	J92/OE1	34.88372093
BSS	2	J92/OE2	34.94778265
MLL	2	OE1/J92	34.97942387
MLW	2	JING724/J92	35
BLW	1	J92/JING724	35.02538071
BLW	1	OE1/J92	35.05154639
MLL	1	OE1/J92	35.17241379
EL	2	OE1/J92	35.22458629
BSS	1	JING724/J92	35.26809414
BLW	1	JING724/J92	35.32338308
MLW	1	J92/OE3	35.40372671
EH	2	OE1/J92	35.47904192
BLW	2	OE1/J92	35.5450237
MLW	1	J92/OE2	35.5450237
PH	2	JING724/J92	35.59693319
MLW	1	J92/JING724	35.6097561
MSS	2	OE1/J92	35.64189189
MLW	1	J92/OE2	35.67839196
BLL	1	OE1/J92	35.68521031
EL	2	OE1/J92	35.69739953
TLW	1	JING724/J92	35.71428571
MSS	2	OE1/J92	35.72635135
MLW	1	JING724/J92	35.75129534
TLW	1	OE1/J92	35.75129534
MLL	2	J92/OE2	35.75374901
TLW	1	JING724/J92	35.78947368
EH	1	OE1/J92	35.85196608
TLW	2	J92/OE2	35.88516746
EL	2	OE1/J92	35.90361446
EL	2	OE1/J92	35.90361446
PH	1	JING724/J92	35.90488771
TLW	2	J92/OE3	35.95505618
BLW	1	OE1/J92	36
EL	2	J92/OE3	36.01895735
MLW	1	JING724/J92	36.17021277
EH	1	J92/OE3	36.19744059
EH	2	J92/OE2	36.20071685
TLW	1	OE1/J92	36.21621622
TSS	1	OE1/J92	36.22833843
EL	1	OE1/J92	36.23188406
TLW	2	J92/OE3	36.25
BLL	1	JING724/J92	36.2962963
EH	2	J92/OE2	36.39010189
TLL	1	J92/OE3	36.39733136
MSS	2	J92/OE3	36.57776913
PH	2	J92/OE2	36.64781185
EH	2	JING724/J92	36.66121113
BLW	2	JING724/J92	36.78756477
EH	2	OE1/J92	36.82634731
PH	1	JING724/J92	36.83920705
EH	2	J92/OE2	36.91756272
BLW	1	OE1/J92	37
PH	1	JING724/J92	37.03405739
EL	2	OE1/J92	37.04600484
EH	1	OE1/J92	37.08558211
BLL	2	OE1/J92	37.14285714
MLW	2	OE1/J92	37.14285714
PH	2	OE1/J92	37.278462
BLW	1	OE1/J92	37.2972973
TLW	1	OE1/J92	37.31343284
MLL	2	J92/OE2	37.33228098
BLW	2	OE1/J92	37.44075829
PH	2	JING724/J92	37.52997602
EH	2	J92/OE3	37.54385965
MLW	2	J92/OE2	37.73584906
TLL	1	J92/OE3	37.87991105
TLL	1	J92/OE3	37.87991105
EL	2	OE1/J92	38.01452785
EL	2	OE1/J92	38.01452785
TSS	2	OE1/J92	38.12445223
TLW	1	JING724/J92	38.1443299
BLW	2	JING724/J92	38.30845771
TLL	2	JING724/J92	38.33333333
TLW	1	OE1/J92	38.37837838
EL	2	J92/OE3	38.42239186
MLW	1	J92/OE1	38.46153846
MLW	1	OE1/J92	38.46153846
TBN	1	JING724/J92	38.46153846
EL	2	J92/OE1	38.49878935
BSS	1	J92/OE1	38.52606351
EH	1	J92/JING724	38.53127833
TLW	2	OE1/J92	38.53658537
BLL	2	OE1/J92	38.57142857
EL	1	OE1/J92	38.57493857
PH	2	J92/OE3	38.6795297
TLW	2	J92/OE2	38.69346734
TLW	1	J92/OE2	38.69346734
MSS	1	J92/OE2	38.77099912
BLW	1	J92/JING724	38.7755102
MLL	2	OE1/J92	38.78743608
TSS	2	JING724/J92	38.80102979
BSS	2	J92/OE3	38.83512229
TLW	1	OE1/J92	38.86010363
EH	2	J92/OE1	38.98305085
TLW	1	J92/JING724	39
BSS	2	OE1/J92	39.15891072
BSS	2	J92/OE1	39.19338159
BLL	1	J92/JING724	39.24242424
BLW	2	J92/OE3	39.3258427
MSS	1	OE1/J92	39.44444444
BLW	1	OE1/J92	39.45945946
BLW	2	J92/OE3	39.50617284
TLL	1	OE1/J92	39.53488372
EL	2	J92/OE2	39.6593674
PH	2	J92/OE1	39.68158606
BLL	1	J92/OE3	39.69571231
TLL	1	OE1/J92	39.8483572
BLL	2	OE1/J92	40
MLW	1	J92/OE1	40.09661836
MLW	2	OE1/J92	40.29850746
MLW	2	JING724/J92	40.31413613
MLL	2	OE1/J92	40.39215686
EL	2	OE1/J92	40.42553191
TLL	2	J92/OE3	40.49586777
TLL	2	J92/OE2	40.5451448
BSS	2	J92/OE2	40.55165325
BSS	1	OE1/J92	40.59253559
TLL	1	J92/JING724	40.63260341
EL	1	J92/OE3	40.66496164
BLW	1	J92/OE2	40.66985646
BLW	1	J92/OE3	40.69767442
EL	2	OE1/J92	40.72289157
EH	2	J92/OE1	40.75165807
TLL	2	J92/OE1	40.89347079
EL	2	OE1/J92	40.92009685
TLW	1	J92/OE2	40.93264249
TLW	1	OE1/J92	40.93264249
TSS	1	OE1/J92	40.93959732
EH	2	JING724/J92	41.07959744
EL	2	J92/OE3	41.20603015
PH	2	OE1/J92	41.27764128
MSS	1	J92/OE3	41.29003949
EH	2	OE1/J92	41.35702746
BSS	1	OE1/J92	41.36209307
EL	2	OE1/J92	41.37115839
TLL	1	OE1/J92	41.46341463
EH	1	OE1/J92	41.51359295
BSS	1	OE1/J92	41.52186938
MLW	1	OE1/J92	41.53846154
BLW	2	J92/OE2	41.58415842
BLW	2	J92/OE2	41.70854271
TLW	1	J92/OE2	41.70854271
PH	2	JING724/J92	41.89848007
BLW	1	OE1/J92	42
MLW	2	JING724/J92	42
EL	1	OE1/J92	42.02898551
TLL	1	J92/OE1	42.03875316
PH	2	J92/OE3	42.04275534
EH	1	J92/OE2	42.04545455
TLL	2	JING724/J92	42.07650273
BLL	2	OE1/J92	42.24137931
TSS	1	J92/JING724	42.25324028
TSS	1	J92/OE2	42.29726913
PH	2	OE1/J92	42.32186732
BSS	1	J92/JING724	42.45567079
PH	2	OE1/J92	42.50614251
PH	1	OE1/J92	42.65734266
PH	1	J92/OE2	42.65774935
EL	1	J92/OE2	42.72076372
MLL	2	OE1/J92	42.74509804
PH	1	J92/OE2	42.89037511
EH	2	J92/OE3	42.99424184
MLW	2	J92/OE3	43.01675978
BLW	2	J92/OE3	43.03030303
MLW	2	J92/OE3	43.03030303
MLL	2	OE1/J92	43.17019722
TSS	2	J92/OE1	43.17265557
PH	1	J92/OE2	43.26750449
TSS	1	J92/OE1	43.26885116
MSS	2	OE1/J92	43.29852045
TLL	2	J92/OE2	43.38235294
TSS	1	OE1/J92	43.38699817
PH	2	OE1/J92	43.45328092
BLL	2	OE1/J92	43.57142857
PH	2	J92/OE2	43.67371241
TLW	1	OE1/J92	43.78378378
TLL	2	OE1/J92	43.78478664
BLL	1	J92/OE3	43.8450899
BSS	1	OE1/J92	43.90150058
MLW	2	J92/OE2	43.91534392
EH	2	JING724/J92	43.96135266
BLL	2	J92/OE1	43.9628483
BLL	2	OE1/J92	43.9628483
EH	1	OE1/J92	44.02467232
MLW	1	J92/OE2	44.07582938
EL	1	OE1/J92	44.09638554
MLW	2	J92/OE1	44.27860697
TLL	1	OE1/J92	44.34643144
TLL	1	OE1/J92	44.34643144
BLW	1	J92/OE1	44.3902439
EL	1	OE1/J92	44.44444444
BSS	1	J92/OE3	44.47714342
PH	2	J92/OE2	44.5526476
EL	1	OE1/J92	44.57831325
BLW	2	J92/OE2	44.76190476
MLL	2	OE1/J92	44.85596708
BLW	1	OE1/J92	44.86486486
BLW	1	OE1/J92	44.86486486
EH	1	JING724/J92	45.09415263
BLL	2	OE1/J92	45.11494253
BLW	1	J92/JING724	45.16129032
EL	2	OE1/J92	45.27845036
PH	1	JING724/J92	45.37815126
TSS	1	J92/OE3	45.43957175
BLL	2	OE1/J92	45.51083591
PH	1	OE1/J92	45.51811825
BLL	2	OE1/J92	45.71428571
EL	1	OE1/J92	45.85365854
TLL	1	OE1/J92	45.95028067
MSS	2	J92/OE2	45.96391263
EH	2	JING724/J92	45.99018003
TLL	1	OE1/J92	46.01018676
EL	2	J92/OE1	46.24697337
BSS	1	J92/OE2	46.34146341
BSS	1	OE1/J92	46.36491088
EH	1	J92/OE2	46.38554217
MLL	2	J92/OE1	46.50205761
EL	1	OE1/J92	46.5060241
BLW	1	J92/OE3	46.51162791
BLW	1	J92/OE3	46.51162791
EH	1	J92/OE3	46.6179159
EH	2	J92/OE1	46.64701548
PH	2	OE1/J92	46.65860296
EL	2	OE1/J92	46.73123487
EH	1	JING724/J92	46.73539519
EL	1	J92/OE3	46.875
EL	1	J92/OE1	46.92874693
EL	1	OE1/J92	46.92874693
BLW	1	JING724/J92	46.96132597
BLW	1	J92/OE1	47
BLW	1	OE1/J92	47.02702703
TLW	1	J92/OE1	47.02702703
TLW	1	OE1/J92	47.02702703
TLL	2	J92/OE2	47.05882353
EH	1	J92/JING724	47.1042471
MSS	1	J92/OE3	47.11690363
BLL	2	OE1/J92	47.14285714
PH	1	OE1/J92	47.25138975
EL	1	OE1/J92	47.31707317
PH	2	J92/OE2	47.59586123
MSS	1	OE1/J92	47.69230769
TLL	1	OE1/J92	47.70797963
PH	1	OE1/J92	47.72056412
PH	1	J92/OE2	47.80502573
TLW	1	J92/JING724	47.82608696
TLL	1	OE1/J92	47.96747967
PH	2	OE1/J92	48.03439803
BLW	1	OE1/J92	48.10810811
TSS	1	J92/OE2	48.13212741
MLL	2	OE1/J92	48.14814815
TLL	1	OE1/J92	48.27295703
TLL	1	OE1/J92	48.27295703
EL	2	J92/OE2	48.41849148
EL	2	J92/OE2	48.41849148
BSS	2	OE1/J92	48.58912595
BLL	2	OE1/J92	48.60681115
MLW	1	OE1/J92	48.71794872
BLW	1	JING724/J92	48.95833333
EH	2	J92/OE3	49.00947459
MLL	2	OE1/J92	49.01960784
BLW	1	OE1/J92	49.18918919
EH	1	J92/OE1	49.44893461
TLL	2	OE1/J92	49.48453608
BLW	1	J92/OE2	49.49494949
TSS	1	J92/JING724	49.62030006
BSS	1	OE1/J92	49.6344748
EH	1	J92/OE1	49.82027318
EL	1	OE1/J92	49.87714988
EL	1	OE1/J92	49.87714988
PH	2	OE1/J92	49.87714988
EH	1	J92/OE2	50
TBN	2	J92/OE2	50
EH	2	OE1/J92	50.24232633
MLW	2	OE1/J92	50.24875622
TLW	1	OE1/J92	50.27027027
MLW	2	J92/OE3	50.3030303
MLW	1	J92/OE3	50.31847134
PH	1	OE1/J92	50.33971587
BSS	2	J92/OE1	50.51617343
BSS	1	JING724/J92	50.5220315
