Gene	Median_FPKM	Mean_FPKM
ENSRNA049459243	0.52437747699646	0.52437747699646
ENSRNA049459267	0.124960737086486	0.134830592793347
ENSRNA049459284	0.401091548509014	0.511770054471225
ENSRNA049459370	0.983544283222718	1.91007623892432
ENSRNA049459418	0.12100968318904	0.12100968318904
ENSRNA049459435	0.172760740456196	0.204344659216068
ENSRNA049459505	0.632362627541186	0.759378997425874
ENSRNA049459562	0.327830404939067	0.488683646343488
ENSRNA049459608	0.462119891727309	0.489463203703763
ENSRNA049459833	1.86166885131911	2.01081848847284
ENSRNA049459870	0.670444437867915	0.801436517013387
ENSRNA049459897	0.330940256353305	0.433521518026359
ENSRNA049459930	0.748448761634424	0.843384190386859
ENSRNA049460030	1.71760211620013	1.92749503634095
ENSRNA049460066	1.16856176359407	1.40000916580148
ENSRNA049460114	0.456644945689212	0.478262335841101
ENSRNA049460134	0.781328203628231	1.07270563987616
ENSRNA049460151	0.598096927527667	0.661093380877685
ENSRNA049460169	0.353375929923793	0.424813968380147
ENSRNA049460407	0.320331324685725	0.480190326868644
ENSRNA049460512	2.02378224389947	2.76315024229962
ENSRNA049460564	0.320322825554663	0.320322825554663
ENSRNA049460670	0.221761381222108	0.234570250737186
ENSRNA049460686	0.460535329094932	0.50258733557416
ENSRNA049460705	1.17639805014752	1.40492893247959
ENSRNA049460733	0.48063148386561	0.627830740135481
ENSRNA049460753	0.876092213924337	1.1073477861521
ENSRNA049460770	0.334374852930446	0.288690355145555
ENSRNA049460809	0.35185114195762	0.354592215750097
ENSRNA049460861	0.386267180444764	0.460366854174226
ENSRNA049460987	NA	NA
ENSRNA049461178	NA	NA
ENSRNA049461227	0.299352561710854	0.383780676139096
ENSRNA049461250	0.768655482020526	1.1446698311661
ENSRNA049461441	2.2891705014994	2.84944530979503
ENSRNA049461457	1.53919572819351	2.00643632117376
ENSRNA049461468	0.466091844783533	0.553354469677294
ENSRNA049461479	1.10424796860453	1.33890085240003
ENSRNA049461505	1.09062646241071	1.51792890290329
ENSRNA049461520	0.574314570962731	0.688117069632189
ENSRNA049461556	4.52638675328034	4.72774772198742
ENSRNA049461578	3.49614029886837	3.64323430523997
ENSRNA049461590	3.44162194886964	3.5799667745635
ENSRNA049461612	4.03701501661918	4.25175335368492
ENSRNA049461634	5.57425143227708	5.92966188516269
ENSRNA049461681	0.367767440079101	0.541950162846734
ENSRNA049461704	0.371194834507115	0.537755156739114
ENSRNA049461717	1.35956817074903	1.45657523438453
ENSRNA049461732	2.73045152472407	3.88281906912016
ENSRNA049461747	10.2882254230097	10.6113780033899
ENSRNA049461765	2.22436273322089	2.32820769372151
ENSRNA049461861	0.638549837177231	0.873739315072158
ENSRNA049462071	0.286738026490264	0.345643337474232
ENSRNA049462239	0.287704001791049	0.287704001791049
ENSRNA049462250	0.228312833609889	0.271300659115865
ENSRNA049462284	0.643381074398694	0.657143157659536
ENSRNA049462318	0.548351766489424	0.674375799742814
ENSRNA049462331	0.387727727426682	0.588154863772105
ENSRNA049462348	0.257923946962892	0.294115045043587
ENSRNA049462555	0.564973661589871	0.564973661589871
ENSRNA049462609	0.50394550827363	0.50394550827363
ENSRNA049462656	0.318932486022421	0.318932486022421
ENSRNA049462687	NA	NA
ENSRNA049462736	0.3835383267554	0.479701015311864
ENSRNA049462923	0.785611792421671	0.785611792421671
ENSRNA049463024	2.67021257469231	2.83296339085627
ENSRNA049463047	2.30580566291183	2.48561234901211
ENSRNA049463067	4.53381338008865	4.6979369212747
ENSRNA049463085	3.99338000684824	4.15745241745793
ENSRNA049463137	0.715649555808969	0.739123951635207
ENSRNA049463233	0.449742612100711	0.410832774163127
ENSRNA049463586	4.01314427820871	4.14343246192885
ENSRNA049463630	3.76256283138476	3.96745594710954
ENSRNA049463667	0.24036990804615	0.36929205562804
ENSRNA049463738	6.44252186556948	6.71518012492311
ENSRNA049463761	10.7129908962932	11.0901380309675
ENSRNA049463774	5.48884554475635	5.99776546480669
ENSRNA049463790	0.335884504734577	0.319001942838853
ENSRNA049463813	4.19251512757129	5.07708477015584
ENSRNA049463828	0.360868306364391	0.460113751916386
ENSRNA049463846	2.63756462491537	3.48693295798531
ENSRNA049463865	0.345126592342613	0.405124808273829
ENSRNA049464122	0.642436097122333	0.824168125864841
ENSRNA049464139	0.628072277530322	0.842624564633196
ENSRNA049464241	0.691640696126249	0.691640696126249
ENSRNA049464595	0.602627919099207	6.9408722307054
ENSRNA049464622	0.401060664283676	5.36305264791557
ENSRNA049464940	0.464337915469258	0.417222947464203
ENSRNA049464954	0.458350594646477	0.441501495346767
ENSRNA049464979	11.3967432119554	11.7063849251539
ENSRNA049464994	0.543869256742775	0.639387784921815
ENSRNA049465015	0.508848216896835	0.439404615652359
ENSRNA049465074	0.244412501195275	0.244687490577485
ENSRNA049465110	0.103948575560268	0.121016341008386
ENSRNA049465132	0.675671513564101	0.802607075878096
ENSRNA049465220	5.39279879769112	5.66878390573445
ENSRNA049465281	2.78873825657908	3.09194461141755
ENSRNA049465355	1.77994380325825	2.00167180548093
ENSRNA049465399	6.32566290081021	6.6359426595301
ENSRNA049465410	28.4566944822852	29.3352764237185
ENSRNA049465449	2.91297669413537	3.02124309324174
ENSRNA049465483	0.630700441583468	0.673517166059486
ENSRNA049465509	0.171707995735539	0.171707995735539
ENSRNA049465575	11.8701752742922	12.4730226717362
ENSRNA049465590	0.297624439404651	0.460551441326318
ENSRNA049465606	1.31527293969533	1.60004881224334
ENSRNA049465879	0.158518242837211	0.156443468915478
ENSRNA049466083	7.31029911404679	7.66979035691254
ENSRNA049466281	0.354510785988182	0.354510785988182
ENSRNA049466300	1.44838455963429	1.55728882468389
ENSRNA049466325	0.133564455332638	0.133564455332638
ENSRNA049466442	0.594627995237877	0.684741330252959
ENSRNA049466569	2.9878250736967	3.16477529909603
ENSRNA049466579	3.00680414711838	3.15573150511406
ENSRNA049466589	0.18520727885301	0.160781513866822
ENSRNA049466617	6.03611398546947	6.66515112826982
ENSRNA049466632	2.95722396024119	3.11960258487322
ENSRNA049466642	4.83754742529067	5.55154728065388
ENSRNA049466657	2.20130111512543	2.34893091462869
ENSRNA049466664	1.31105234779703	1.4440975745327
ENSRNA049466676	1.99844468556695	2.19908269664612
ENSRNA049466686	0.349360886362486	0.350214051216277
ENSRNA049466693	0.285549090996359	0.291361583160543
ENSRNA049466701	0.805663514324199	0.923198687695136
ENSRNA049466709	0.343111664878475	0.545593797435361
ENSRNA049466850	0.365695802743088	0.401980934429825
ENSRNA049466858	0.723391325083996	0.80974932925504
ENSRNA049466998	0.154729408823027	0.154815461665467
ENSRNA049467030	0.257614578383	0.307721171672968
ENSRNA049467046	0.353769115725443	0.353769115725443
ENSRNA049467153	0.236151286919497	0.224262119521416
ENSRNA049467197	0.448660922404795	0.537312171873901
ENSRNA049467206	0.383724121585763	0.4594054407546
ENSRNA049467247	0.592175184446955	0.658781335546869
ENSRNA049467432	0.156743016053943	0.204504623398098
ENSRNA049467439	0.609741815758662	0.753669042782008
ENSRNA049467544	NA	NA
ENSRNA049467601	0.464323541215566	0.471180966283327
ENSRNA049467624	0.443907808309455	0.443907808309455
ENSRNA049467635	0.272253299063587	0.3471371332633
ENSRNA049467653	0.233111224434491	0.233111224434491
ENSRNA049467662	0.231189197167453	0.235325027857716
ENSRNA049467670	0.34655042238458	0.34655042238458
ENSRNA049467682	0.22910466570874	0.22910466570874
ENSRNA049467685	0.269812985914307	0.318641950267131
ENSRNA049467695	0.241573151664994	0.291368672958963
ENSRNA049467703	0.347121310890065	0.36942579350879
ENSRNA049467718	0.461375243444878	0.423298736506032
