Trait	Var(add)	Var(dom)	h2
Zm00001d000040	0.848343	1e-06	0.848343113181653
Zm00001d000041	0.878144	1e-06	0.878144237561813
Zm00001d000042	0.887203	1e-06	0.88720365666838
Zm00001d000045	0.391085	0.030462	0.421560774062987
Zm00001d000046	0.76459	0.008797	0.773381294964029
Zm00001d000052	0.839552	1e-06	0.839552162181033
Zm00001d000053	0.570373	2e-06	0.570390141404963
Zm00001d000055	0.233558	4e-06	0.233565463634525
Zm00001d000060	0.814959	0.036828	0.851784603143839
Zm00001d000061	0.416971	1e-06	0.416972833650511
Zm00001d000062	0.837423	1e-06	0.837423991824139
Zm00001d000064	0.595024	1e-06	0.595025870287581
Zm00001d000065	0.606071	0.053659	0.659730651515039
Zm00001d000066	0.786334	1e-06	0.786334645312272
Zm00001d000070	0.66817	2e-06	0.668172642873769
Zm00001d000071	0.781984	1e-06	0.781982288586845
Zm00001d000072	0.864144	1e-06	0.864144285434229
Zm00001d000074	0.261334	0.002751	0.264079750834459
Zm00001d000076	0.589802	0.013011	0.602810809678652
Zm00001d000077	0.84901	0.044667	0.8936760157833
Zm00001d000080	0.834827	0.009563	0.844396818041396
Zm00001d000085	0.885328	1e-06	0.88532934872072
Zm00001d000086	0.828383	0.002745	0.831128550329328
Zm00001d000092	0.70463	0.050948	0.755577661744007
Zm00001d000093	0.796305	1e-06	0.796305738611766
Zm00001d000095	0.272229	1e-06	0.27223105116146
Zm00001d000097	0.597594	0.039646	0.637240591432941
Zm00001d000098	0.433181	1e-06	0.433190384832412
Zm00001d000099	0.343826	5e-06	0.34384236453202
Zm00001d000102	0.048067	3e-06	0.0480455266349473
Zm00001d000107	0.424675	2e-06	0.424674252485732
Zm00001d000110	0.651418	0.011871	0.663248015696067
Zm00001d000112	0.692779	0.018867	0.711637293152159
Zm00001d000113	0.833598	0.000388	0.833984727242183
Zm00001d000116	0.875927	2e-06	0.87592612233148
Zm00001d000117	0.658801	2e-06	0.658799273594687
Zm00001d000120	0.441563	2e-06	0.441572785509167
Zm00001d000121	0.692871	0.077675	0.770546028443861
Zm00001d000122	0.507496	2e-06	0.507491101729989
Zm00001d000123	0.612606	0.139392	0.751947696041969
Zm00001d000124	0.74227	2e-06	0.742279964532172
Zm00001d000126	0.776935	2e-06	0.776937967529499
Zm00001d000133	0.782224	0.008405	0.790601191823188
Zm00001d000135	0.853815	0.075152	0.928969625029146
Zm00001d000137	0.723989	0.034179	0.758170064908749
Zm00001d000141	0.420744	0.149189	0.569935787220604
Zm00001d000143	0.749486	0.085953	0.835445625511038
Zm00001d000147	0.382458	2e-06	0.38245609584393
Zm00001d000150	0.725143	0.00623	0.731371376120296
Zm00001d000152	0.826601	1e-06	0.826601390568653
Zm00001d000153	0.792983	2e-06	0.792990930346086
Zm00001d000154	0.732002	0.047683	0.779685318895583
Zm00001d000158	0.737319	0.030718	0.768035174939192
Zm00001d000159	0.53959	1e-06	0.539591495195751
Zm00001d000162	0.851712	0.044962	0.896673656637444
Zm00001d000163	0.682227	2e-06	0.682231754409202
Zm00001d000164	0.801254	0.029341	0.830599651917093
Zm00001d000165	0.530088	0.055813	0.585901147619335
Zm00001d000166	0.538361	0.039071	0.577415783647003
Zm00001d000168	0.401516	3e-06	0.401500600240096
Zm00001d000169	0.542686	0.102587	0.645230648944488
Zm00001d000170	0.544728	1e-06	0.54473203891867
Zm00001d000175	0.536435	0.058547	0.594977708341272
Zm00001d000176	0.512114	4e-06	0.512119941613094
Zm00001d000178	0.895883	1e-06	0.895879591894095
Zm00001d000179	0.396356	0.212659	0.609014273063863
Zm00001d000183	0.843664	0.000516	0.844177523648714
Zm00001d000184	0.506803	0.079101	0.585891450936012
Zm00001d000191	0.515491	5e-06	0.51542973731191
Zm00001d000193	0.384483	2e-06	0.384484368323096
Zm00001d000194	0.508918	0.042734	0.551648541694219
Zm00001d000195	0.783768	0.032052	0.81582006991505
Zm00001d000196	0.634753	1e-06	0.634754747366302
Zm00001d000197	0.771083	0.013425	0.784510225756379
Zm00001d000199	0.76707	1e-06	0.76706170821414
Zm00001d000202	0.702139	2e-06	0.702147730144024
Zm00001d000203	0.214758	2e-06	0.214759502877743
Zm00001d000204	0.547268	1e-06	0.547270339881824
Zm00001d000205	0.832013	1e-06	0.832008860882002
Zm00001d000208	0.799239	0.0023	0.801538322948728
Zm00001d000209	0.716535	1e-06	0.716535383870376
Zm00001d000213	0.248835	3e-06	0.248845677390292
Zm00001d000214	0.381333	2e-06	0.381335412492422
Zm00001d000220	0.343693	2e-06	0.34369155899354
Zm00001d000221	0.581701	0.001648	0.583349152476794
Zm00001d000222	0.726196	3e-06	0.726199119113305
Zm00001d000223	0.67586	1e-06	0.675862968275554
Zm00001d000224	0.542071	2e-06	0.542068008606648
Zm00001d000226	0.844435	1e-06	0.844435484137503
Zm00001d000227	0.798946	0.021022	0.819983927136351
Zm00001d000229	0.74218	1e-06	0.742180246921351
Zm00001d000230	0.622121	2e-06	0.622125167251521
Zm00001d000233	0.69025	1e-06	0.690247683908155
Zm00001d000236	0.695002	0.00097	0.695971446776846
Zm00001d000237	0.795312	0.018233	0.813544879164516
Zm00001d000238	0.39725	0.111016	0.508268273679859
Zm00001d000240	0.520731	1e-06	0.520707831325301
Zm00001d000241	0.847473	1e-06	0.847471756333051
Zm00001d000242	0.376044	0.048315	0.424359704040979
Zm00001d000243	0.10138	1e-06	0.1013811327495
Zm00001d000247	0.59424	0.030182	0.624417199102055
Zm00001d000250	0.441225	1e-06	0.441225654042874
Zm00001d000255	0.551018	1e-06	0.551019197414753
Zm00001d000257	0.477915	0.062047	0.539929683576092
Zm00001d000259	0.359949	2e-06	0.359947603156286
Zm00001d000260	0.452344	0.029889	0.482234079589618
Zm00001d000270	0.54916	3e-06	0.549159006934074
Zm00001d000272	0.188851	0.094909	0.283757382434641
Zm00001d000275	0.090467	0.049293	0.139760385865487
Zm00001d000276	0.589988	2e-06	0.589984950061568
Zm00001d000277	0.578432	2e-06	0.578427083333333
Zm00001d000279	0.433322	1e-06	0.433323034722665
Zm00001d000281	0.022954	1e-06	0.0229558587451536
Zm00001d000288	0.701391	0.024292	0.725683555418874
