Gene	Median_FPKM	Mean_FPKM
ENSRNA049468879	0.313642469930977	0.351236289498198
ENSRNA049468892	0.361880677590759	0.451398331302006
ENSRNA049468913	7.67259566493136	7.84911078109691
ENSRNA049468983	0.28132136269337	0.28132136269337
ENSRNA049469023	0.301693766458577	0.426178068613055
ENSRNA049469321	0.162086380348463	0.162086380348463
ENSRNA049469775	1428.47929638548	1519.73731076476
ENSRNA049469892	NA	NA
ENSRNA049469899	0.264556685761598	0.327286141875099
ENSRNA049469919	NA	NA
ENSRNA049469950	0.309678087939841	0.428539420935517
ENSRNA049470085	0.126130900692059	0.13598538856399
ENSRNA049470236	0.736668410483572	0.736668410483572
ENSRNA049470248	0.611612943460741	0.582769993980978
ENSRNA049470257	0.602573515810364	0.663253877318309
ENSRNA049470263	0.502046474064561	0.48961132331731
ENSRNA049470306	0.538017643504202	0.613285585299662
ENSRNA049470312	0.362870595377808	0.349285805064384
ENSRNA049470320	0.268294290497777	0.270806518460914
ENSRNA049470333	0.700710260033517	0.908663402384643
ENSRNA049470348	0.248860840726474	0.388677226603016
ENSRNA049470554	3.98972262877754	6.106964807858
ENSRNA049470569	0.970024963800842	1.15448994874012
ENSRNA049470615	0.30123547508784	0.550731110656138
ENSRNA049470674	0.546209725089368	0.680016963986191
ENSRNA049470723	0.367103325517941	0.571526822395411
ENSRNA049470793	0.916223005204212	1.04023681697558
ENSRNA049470799	0.879734676660018	1.14030454917566
ENSRNA049470807	1.10518221987486	1.26726430124986
ENSRNA049470888	0.210005860520146	0.210194232175884
ENSRNA049470912	0.565626100600569	0.642917218928746
ENSRNA049470918	0.344931801046719	0.447319171109273
ENSRNA049470931	0.137531591739838	0.139240987504616
ENSRNA049470937	0.440109079538993	0.636384090916022
ENSRNA049470983	0.368767504655911	0.556895752592039
ENSRNA049471008	1.37525953634493	1.53787973790283
ENSRNA049471190	0.599856759664489	0.63555099863106
ENSRNA049471198	0.935470240351576	1.21802937520947
ENSRNA049471617	1.49132052362789	1.65312759117648
ENSRNA049471642	0.313618885454876	0.399286971678396
ENSRNA049471654	4.83242969855085	4.80365689185313
ENSRNA049471660	3.55939961009934	3.49692503970875
ENSRNA049471804	NA	NA
ENSRNA049471872	0.360689243961801	0.446181454115386
ENSRNA049471996	6.47054534026988	7.01206231306832
ENSRNA049472005	1.11052118606197	1.5933426833016
ENSRNA049472011	0.535056654268732	0.651124638342861
ENSRNA049472105	3.88411658358539	4.17010264362591
ENSRNA049472175	0.357222349383005	0.357222349383005
ENSRNA049472180	3.66077711422402	4.38687906281799
ENSRNA049472213	4.4976314964112	4.75523958946771
ENSRNA049472224	1.47744851653166	3.89872206699575
ENSRNA049472265	0.360686931312095	0.342170757830653
ENSRNA049472360	0.499424628861323	0.512779583359521
ENSRNA049472415	3.56949813994869	4.0682227147161
ENSRNA049472421	4.50964464622519	4.77160411593644
ENSRNA049472522	0.528986324230611	0.467874427272928
ENSRNA049472528	0.194559332476082	0.194559332476082
ENSRNA049472536	0.246951447628738	0.315964358252865
ENSRNA049472548	2.02815491823643	1.87482516446256
ENSRNA049472552	0.470337591251022	0.473179256458905
ENSRNA049472564	NA	NA
ENSRNA049472588	NA	NA
ENSRNA049472598	2.80273826004325	3.82925657225015
