Gene	CV
Zm00001d001814	10.7455015289121
Zm00001d001820	36.4031535080032
Zm00001d001824	48.8773501107012
Zm00001d001825	17.1611494275044
Zm00001d001826	51.8415932294753
Zm00001d001827	19.375533036532
Zm00001d001828	18.2510088809609
Zm00001d001830	11.5297661567492
Zm00001d001831	18.9173373501933
Zm00001d001832	47.764334472763
Zm00001d001834	19.1905723822312
Zm00001d001837	15.5494110897812
Zm00001d001839	37.0335688234217
Zm00001d001843	26.0530320374447
Zm00001d001844	18.3338135721341
Zm00001d001846	13.6702347633172
Zm00001d001847	17.2952025957563
Zm00001d001848	25.7028040823382
Zm00001d001849	35.5954548956192
Zm00001d001855	28.8336530328175
Zm00001d001856	18.3762817172612
Zm00001d001857	32.606079454172
Zm00001d001858	31.9280877788543
Zm00001d001859	13.152153164468
Zm00001d001860	31.7518718319775
Zm00001d001861	15.5172729344905
Zm00001d001862	65.2006752074234
Zm00001d001866	21.6900497351838
Zm00001d001868	12.1221619195137
Zm00001d001869	21.8722062833858
Zm00001d001870	13.8051743291674
Zm00001d001871	33.0897583539194
Zm00001d001877	13.1335544888442
Zm00001d001879	15.444187054854
Zm00001d001880	14.5093518011429
Zm00001d001881	14.1454039742925
Zm00001d001882	39.3860885255924
Zm00001d001883	28.1404263094074
Zm00001d001884	13.2370337288302
Zm00001d001895	14.3143033848175
Zm00001d001896	32.415400734703
Zm00001d001897	11.8593309308808
Zm00001d001898	9.84202068725888
Zm00001d001899	19.6385898578543
Zm00001d001900	26.5693112439415
Zm00001d001901	13.6953375247527
Zm00001d001902	33.3780566403875
Zm00001d001903	24.1553658748811
Zm00001d001905	43.2360945139489
Zm00001d001907	61.4498939269712
Zm00001d001908	17.1011832972126
Zm00001d001909	19.1825156758819
Zm00001d001910	34.1574313110547
Zm00001d001913	11.0356463005923
Zm00001d001914	20.9979192696996
Zm00001d001915	32.8170848723835
Zm00001d001928	22.1944584761533
Zm00001d001929	24.1557563122801
Zm00001d001932	17.0428911741405
Zm00001d001933	22.1917317767462
Zm00001d001935	28.9155597116845
Zm00001d001937	10.9425501585348
Zm00001d001939	18.9421527130117
Zm00001d001940	20.8877355307069
Zm00001d001941	27.7095254426394
Zm00001d001943	50.5578189583977
Zm00001d001946	15.0314210727875
Zm00001d001947	23.9061192457551
Zm00001d001949	16.5488792242172
Zm00001d001951	15.6367348548888
Zm00001d001952	14.2560700380621
Zm00001d001953	23.2452734750115
Zm00001d001959	15.230752701706
Zm00001d001960	51.6241729858614
Zm00001d001962	15.2410822269645
Zm00001d001964	44.2813724350303
Zm00001d001966	10.2028341089984
Zm00001d001967	26.3096037000571
Zm00001d001968	19.2557598533191
Zm00001d001972	22.0699850018788
Zm00001d001973	28.2954116783574
Zm00001d001974	15.5991553698981
Zm00001d001978	19.2979406986175
Zm00001d001979	10.9572455441394
Zm00001d001980	9.85546097970493
Zm00001d001982	31.507386627059
Zm00001d001983	11.2834631650303
Zm00001d001984	59.1911028852961
