line	AGY	EH	ERN	KR	PH
fu96/J8606	169.4828214	137.4434289	15.74999929	39.92992973	316.2400002
fu96/ji833	174.909777	142.3648007	17.89781483	40.24121189	316.8037144
fu96/L139	184.0025056	128.2377156	16.44036857	37.23215099	311.5832308
fu96/liao2204	183.3717145	147.7858041	15.67329159	38.81820772	308.4215295
fu96/PHG47	162.4721041	119.2193642	16.21024548	37.12839027	299.8922888
fu96/PHW30	187.0944154	136.4066932	16.44036857	38.35869595	316.5586213
fu96/SC30-1	187.8884423	153.8126433	17.89781483	39.085021	316.5165445
fu96/SW153	187.0928352	142.4867894	17.36086095	41.08612061	322.0963303
gan41/1614	189.2158965	154.1854901	15.21304541	36.69852442	314.2272887
gan41/changK	157.9748431	139.4669371	16.51707627	37.89918419	312.146945
GN4095/7236	156.8605961	161.9044756	14.36926073	38.58104036	311.561001
GN4095/qi35	147.2096756	173.4243509	15.05963001	35.98702234	310.3788349
H114/4722	141.5365276	116.1466295	15.72816027	30.05811044	270.2360206
H114/MM402A	176.5381271	132.0349162	17.58214659	37.85934946	306.3137286
H114/zhonghuang64	160.6097432	139.7792068	14.59938382	38.74409292	305.480412
hai9-21/huotanghuang	185.8110241	149.9467111	15.21304541	37.35073467	316.2890189
hai9-21/ji432	151.2341179	157.7159833	16.05683008	34.54919521	321.5340117
hai9-21/yuanwu05	160.29048	138.4931627	15.65642806	34.77565558	312.5677262
han21/IBB14	188.5912358	184.6711112	15.9841491	38.89612003	357.0480056
han21/liao5110	177.1262357	180.6740579	18.80687305	36.8236307	342.5384926
han49/1101	197.3664153	150.1465637	15.13633771	38.74409292	299.8187608
han49/5707	150.9123265	127.8879734	14.5169615	34.11227728	287.2699928
han49/HBAI	185.6039897	131.6601924	17.93026573	36.39639847	297.7599786
han49/PHW17	171.6617757	129.8365369	18.55943197	32.38183961	293.4218302
han49/SC11-1	170.03643	138.8076452	16.08558774	35.97542669	294.5084849
HB8229/8982	203.9633522	148.5977056	15.82670699	40.37461853	302.2942014
HB8229/liao2204	167.2121235	146.0246026	15.13633771	39.5297098	300.2844378
HB8229/shuang741	170.381425	124.740294	15.75318903	33.82127165	281.8289254
HBAI/M22	192.5759655	139.3545199	16.82390706	41.44187166	337.3670277
HBAI/yan156	165.7096655	153.3941695	18.43476872	35.39410393	319.671304
HBAI/ZPON7	165.0277967	137.4809012	16.13353778	37.33591171	320.2105089
HHe01/1145	157.3909478	146.9739027	14.52267613	37.18768211	312.5881127
huangchangb/BM	174.0363585	149.2222452	15.90341469	39.76687717	329.3279731
huangchangb/wu109	173.1946529	168.6579166	15.82670699	40.09298229	348.3962183
huobai/chang72	153.6751338	170.5315353	13.98572224	32.08858383	309.5734672
huotanghuang/1614	178.2746331	155.7674199	13.90901454	42.61288551	317.9801614
huotanghuang/changK	165.414585	133.0841426	13.67889145	41.01200581	295.0639542
huotanghuang/gan41	152.2747641	143.8012417	14.13913764	41.2047043	297.9070344
IBB14/7327	167.1001286	145.100284	14.21584534	40.67107773	310.9950073
J8606/B09	172.5439399	146.898958	13.90901454	39.69276236	319.7448319
ji432/gan41	141.0740425	151.1957902	15.02165473	34.73333998	294.6718052
ji432/huotanghuang	149.8415124	159.6645468	13.34065051	38.53560256	300.6030588
ji432/yuanwu05	147.3212054	155.8923278	13.08624598	36.79616496	297.0737178
ji434/757	169.9530146	139.1047041	18.28135332	35.15693657	317.710559
ji434/BCC03	173.14801	138.5051461	15.05963001	38.5662174	320.4065834
ji434/NS501	155.6897769	140.3038201	14.36926073	35.30516617	311.436175
ji434/wu126	180.8298856	142.8019784	13.98572224	38.9367914	314.3772925
ji63/2MA22	178.8373769	122.9915832	16.67049167	38.7885618	300.2354191
ji63/LH162	151.1031495	127.6881208	14.36751738	35.3977758	290.7503152
ji63/zhangxi28	162.1974269	137.2685578	16.51033814	30.70245228	290.7380605
ji833/7236	145.1041537	166.0973044	16.05683008	39.3814802	339.352282
ji833/xun971	157.1381469	168.9871585	16.11151552	36.67261526	326.6682061
ji833/yue39-4	160.6562805	156.075159	13.45201916	37.7272228	312.493017
ji846/9710	178.3206444	156.2170883	14.21584534	41.05647469	336.1660713
ji846/longkang1	159.0624665	142.9820768	15.80957042	38.24504896	322.4406511
ji846/N68a	182.4845641	149.7099871	13.60218375	40.76001549	325.8172099
jian1495b/shen5005	171.7459564	120.8181855	16.21024548	35.21622841	289.1081912
jian1495b/Va26	191.7546854	139.2795752	16.59378397	42.76111511	330.7495133
K10/84-126-15-1	171.5437538	116.5713164	16.05683008	37.32108875	288.2013467
K10/A619	157.3099031	92.23925471	16.14920728	35.18149302	284.1082915
K10/FBHJ	170.3693827	110.0511233	13.37206066	36.6688785	298.42173
K10/IBB14	180.3317856	115.7945801	13.6543588	36.87490394	292.6101459
