line	AGY	EH	ERN	KR	PH
LH60	75.89609424	82.95160262	14.0054851	22.92381961	244.4439157
LH82	83.43035337	81.06792878	18.81710619	22.27194037	199.6749323
LH93	65.49111612	91.38352153	13.57459366	22.94011659	222.0581372
liao2204	64.1598446	95.6416158	16.16230402	20.79960512	213.5341433
liao5110	79.46943083	85.73325269	16.30357279	25.33577278	189.3903585
liao7794	78.97730184	80.52265478	14.22093082	26.00394899	215.5030006
Lo1067	74.78186973	94.89558182	15.36997467	19.59923551	212.9550677
longkang1	196.4491906	120.3811797	16.80627947	39.26969142	280.6242951
Lp215D	40.77380303	79.87824005	12.85913014	13.7110905	240.3003076
luosu3	48.57126868	90.33162868	11.38911149	20.86025991	203.8088594
Lx9801	62.14165018	86.66937992	12.5691803	21.50598227	228.1654552
M101	59.61883573	96.40561808	13.73338743	18.44575607	251.0717959
M22	123.2817827	98.46712655	14.86726799	30.43672779	264.9689311
M3	53.35884727	96.57658256	13.45915389	18.81607728	249.8675613
M3736	29.18125651	124.5163528	11.8611185	17.54788611	243.7747616
MBUB	67.37482687	68.9231896	15.33674928	20.33507874	229.6195786
MDF-13D	42.05407885	98.2824359	12.02567466	17.56909214	222.9619545
mei68113	48.59573647	98.98968932	14.65006118	21.69217679	234.8787071
MM402A	52.67684339	77.74818435	13.16788379	20.5027123	228.4896967
MO113	60.01460213	70.60858198	12.28191934	25.36836674	205.6329775
MP	71.01355625	117.3385641	15.22634419	29.57298781	245.0461544
Ms71	60.22180946	81.36535097	13.43096318	21.52227925	216.8027038
N68a	49.85619155	96.08275256	14.23902126	18.58265709	220.0537767
nan21-3	66.86251459	97.847497	12.9282565	20.4629755	220.9205752
niu2-1	57.93704456	115.2466948	13.4881212	20.49616892	231.1946644
NN14B	75.67998127	112.6996098	13.94319812	28.54459249	238.5395115
NS501	151.0612828	85.40533563	14.55120238	36.10517551	270.7210828
P167	39.7587441	101.3422077	12.00953147	13.66016685	228.7573993
PHG35	49.48008981	77.5980033	12.5691803	17.69248875	224.3049508
PHG47	39.45996195	54.72128032	14.72780951	20.15983205	185.3524607
PHG71	75.92119545	108.7034067	13.2873327	26.13432484	237.9582682
PHJ40	65.89096582	99.63446048	13.07729689	20.6917905	219.9487084
PHK05	26.09176055	64.46185685	11.05277748	12.00909531	201.7467364
PHK93	89.56385228	82.7037508	13.43096318	24.58611166	236.8387219
PHN29	100.1729445	97.10394154	13.6464089	31.57751645	266.3973178
PHN37	45.30088893	67.90699714	12.36814246	22.0271529	215.9276561
PHR30	77.97102001	85.94972831	14.02766501	24.16256635	234.2928132
PHR55	95.1513614	103.2010963	15.94449659	19.94147211	267.478259
PHT22	63.20725664	78.15757746	12.71281078	22.06007962	212.7966764
PHT69	141.7430727	115.9912178	14.29411552	33.5016456	255.7755639
PHT77	89.51741514	91.97340886	15.36997467	25.93876107	248.407367
PHW03	69.55289909	93.53487533	14.65182227	23.9505294	258.7277822
PHW17	84.11934367	103.3896177	16.80627947	24.42314185	252.3681312
PHW20	53.99066593	90.18887576	12.5691803	22.17415849	185.4425392
PHW30	74.15392947	86.59502437	15.22634419	26.03654296	257.2350538
PHW43	69.88580685	59.8540928	14.29274606	23.7875596	228.0805215
PHWG5	96.26831789	107.4641476	14.58000703	28.22033839	266.6546847
Q1261	39.40711538	104.5897569	13.33659214	15.25724297	215.8648712
qi35	32.85702212	129.9510959	11.60439496	13.85791451	238.3765497
R31	57.78659354	100.6730077	14.0054851	17.44803404	263.9008582
RS710	100.3663903	94.55308137	15.44178991	31.18638891	244.5586257
S22	50.86036465	84.33957281	11.12776866	19.34736626	217.7034881
S311	47.75950008	92.04776441	14.86726799	16.84504574	243.1570809
SC-14	83.15385003	93.7083716	15.36997467	25.4009607	239.0006044
SC-9	69.11474338	90.08356305	14.24018256	23.78650574	236.6252458
SC11-1	82.63991766	90.6703643	13.93366986	26.19951276	237.5137154
SC24-1	98.64179646	90.23844612	16.01631183	27.84550783	233.3771363
SC30-1	79.268731	110.4631546	18.17076903	25.51503957	230.1343125
Sg1533	65.64937954	104.4651406	13.93366986	23.77126261	228.9761612
shen5005	51.65163916	62.31665781	15.44018709	21.46024847	187.2202456
shuang741	77.50095918	97.06429978	15.08271371	22.7608498	216.1018761
shuangM9B-1	81.00523385	93.63401606	14.0054851	25.41725768	257.3380006
SW153	67.89887489	58.78336233	14.14911558	24.40684487	186.4046669
T24	50.19269371	85.80672031	11.4919517	19.56664155	224.2416997
Va26	79.14224015	91.14245769	15.36997467	26.9328769	252.8824387
W182bn	57.58617737	85.38055045	13.77432463	23.56267054	222.799354
W238	50.9525601	101.0846712	13.82785542	19.00903774	229.7519515
W64A	60.03532386	77.35015148	16.37538803	21.58746718	207.0356275
W968	76.99409981	101.5675503	14.72363751	20.41408455	232.7867873
W9706	64.38144512	103.2801786	12.90671873	18.04036904	222.509905
wu109	78.97511997	100.7101855	14.58000703	23.70607469	221.5562716
wu126	71.83263771	83.67037289	11.92284314	20.44667852	208.2066472
XF134	66.65304102	86.4215281	11.99465838	21.6526551	209.5887078
xing230	73.00743851	71.10428562	13.07188698	21.9948917	187.9776038
xingK36	93.22764151	85.06825716	13.00007174	25.97135503	201.6051845
XOP2	86.75744876	77.25101076	14.0054851	23.07049244	257.0806337
xuan6	54.16389815	100.4995115	14.17238905	20.94935592	225.4502338
xun971	70.09075653	105.9026811	14.25377476	23.18853819	236.1824362
yan103	40.54321248	90.70492812	15.33502285	21.01414077	223.6931189
yan156	63.32189467	99.13186384	15.58542039	22.71195886	210.3003383
yan38	57.82854047	74.47507037	13.79003938	21.37560643	196.3291618
yi36	54.14695413	80.10130669	15.25958005	17.83589579	176.601984
yu82	86.41750347	82.85246189	15.58542039	23.07049244	226.2609397
yuanwu05	65.8229882	94.35278634	13.2873327	25.00983316	212.375992
yue39-4	46.77534494	70.75729307	11.00832453	16.03647868	187.3599231
