gid	B1	B10	B11	B14	B15	B16	B17	B18	B19	B20	B21	B23	B24	B25	B26	B29	B3	B30	B35	B36	B37	B4	B41	B44	B45	B46	B48	B49	B5	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B6	B60	B61	B64	B68	B7	B70	B8	B9
ENSRNA049457460	0.142093284	0	0	0.147996602	0	0	0	0	0.147144136	0.107592202	0	0.063453565	0.122567865	0	0	0	0	0.134449236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142979369	0	0	0	0	0	0	0	0	0	0
ENSRNA049457503	2.873951263	1.864444087	1.306765454	6.258824034	3.379618043	0	1.756609816	0.889104305	2.164442772	1.186984938	1.387566119	2.916817117	1.80293375	0.457269117	0.593367117	1.511526409	1.326444596	0.988852442	2.357702337	1.711920387	5.958675049	1.379216108	1.33377697	0.856581488	2.234662704	0.269442698	0.510005289	3.188179819	1.377510009	3.529098404	2.884729429	1.542391635	1.676664427	1.992981991	4.237939542	2.181640262	1.782166641	3.417668136	1.969649318	0.552042625	5.167010453	3.411921244	0.728214066	3.106058897	2.112470039	6.380763357	0.358962468	0
ENSRNA049457531	5.011088338	3.801703051	1.398897119	3.398598224	8.472939703	0.704983947	1.741164006	0.594868348	0.482717453	5.117983018	0.206304795	1.613272662	2.010465693	1.223770587	1.543892859	2.696824097	1.419963711	0.771874028	0.920182387	3.436156748	3.637025437	2.069275181	1.189844204	3.438650867	2.990268078	2.523844548	1.02367968	3.910681001	2.826373053	3.804148039	8.363639999	5.045137148	1.371085299	2.22238999	1.556720915	2.162457174	1.135604643	2.110745789	2.761152795	1.822137817	1.455606125	1.053598259	1.732346171	2.451156606	1.076860369	2.618408215	2.241578575	1.710966572
ENSRNA049457554	0.1396434	0.142359031	0.139688721	0.145444936	0.093431771	0.03839842	0.10431974	0	0.216910752	0	0	0.062359538	0.060227313	0.061100615	0	0	0	0.132131145	0	0	0.251432296	0.067015203	0	0.152609346	0	0	0	0	0	0	0	0.068698478	0	0.053260726	0.133241507	0	0	0.070257104	0	0	0.072675737	0	0	0	0.080648487	0	0	0
ENSRNA049457570	0.713596229	0.363736732	0.214148347	0.668918562	0.254639306	0	0.159926297	0	0.221688522	0.108066176	0	0.191199289	0.061553906	0.18733933	0.108043352	0.206419906	0.362288832	0.47264533	0.321976971	0.389644141	0.513940904	0.205473926	0.218574904	0.31194157	0.07629355	0	0.069648299	0	0.125412071	0.16064912	0.157579934	0.07021166	0.228971794	0.435470955	0.068088171	0	0.139074049	0.430827701	0.153704541	0.060311265	0.074276524	0.071683876	0	0.065257761	0.123637328	0.069710542	0	0.080591106
ENSRNA049457592	0.196347084	0.100082713	0.098205404	0.102252198	0.043790244	0	0.073339938	0	0	0	0	0.08768129	0	0	0	0	0	0	0	0.107211176	0.117843015	0.047113718	0	0	0.10496143	0	0.095819175	0	0	0.110507122	0	0.096594224	0	0	0.187345634	0	0	0.197571491	0	0	0.204372981	0	0	0	0.11339666	0.479524034	0	0
ENSRNA049457729	0	0	0	0.674864505	0.385354149	0.118779114	0	0	0	0.163540147	0	0	0	0	0.163505606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231007099	0.164753178	0	0	0.210465394	0.21732864	0	0	0	0	0	0.197513489	0	0.210990575	0	0
ENSRNA049457749	0.453108654	0.923840427	0.113313927	0.94386644	1.313707327	0.062296738	0.338492024	0.481857228	0.234607433	0.943500848	0.200534031	0.252926799	0.390845778	0	0.085754688	0.655347114	0	0	0	0	0	0.163085948	0	0	0.242218685	0.350463928	0	0.345571938	0.437977541	1.020065739	0	0.668729241	0.363472708	0.518454056	0.324252059	0	0.662303687	0.797884869	0.609981307	0	0	0.568959433	0	0	0.5233692	0.44263757	0	0
ENSRNA049457777	0.197544322	0.201385947	1.185650607	0.205751373	0.352458063	0.108639433	0	0	0	1.196635222	0	0.176431865	0.511197679	0	0.074773905	0.190476905	0.200584305	0.37383446	0	0	0	0	0.201693103	0	0	0	0	0	0	0.222361891	0.872454754	0	0	0.301377765	0.753951942	0	0	0.397552391	0	0	0	0.396883897	0	0.541957744	0	0	0	0
ENSRNA049458208	1.487629689	2.527599127	5.456412486	2.238071061	3.02286737	0	7.779272041	3.937461922	2.738682692	2.252848964	3.511391811	4.650239861	5.845736726	3.182219776	2.878032344	2.709436795	4.867239558	3.910003278	2.610313302	1.444068898	3.174546535	11.89861763	4.0503268	2.167675603	1.237045425	2.216028717	4.517189699	3.361686204	5.287014604	2.046636999	1.277523033	5.366893344	1.76791147	5.169551247	7.097149654	2.607084848	3.704620452	3.659104661	3.204269153	0	2.924827614	4.649211365	5.528482295	0.755791411	3.341151592	1.614723788	0	0
