ID	P5_J92/OE2	P5_J92/OE1	P5_J92/JING724	P5_J92/OE3	P6_J92/OE1	P6_J92/OE3	P6_J92/JING724	P6_J92/OE2
ENSRNA049466442	-0.084926206	0.102098413	-0.084926206	0.274796298	0.436097627	0.02764895	0.218341631	-0.229636623
ENSRNA049466569	-0.487258479	-0.037262492	-0.327450857	-0.374120295	1.58471597	0.458633607	-0.374957421	-0.243445028
ENSRNA049466579	-0.20437692	-0.374637797	0.012704142	0.541303924	0.233491118	-0.364941936	-0.535724044	-0.278372757
ENSRNA049466617	0.186187064	-0.211637813	0.308520658	0.679688606	0.758173412	0.488689455	-0.291444534	0.51132048
ENSRNA049466632	0.35682808	-0.246889299	-0.077046469	0.027013768	0.67375614	0.052553249	-0.173912	-0.178402798
ENSRNA049466642	-0.182535486	0.145161465	-0.572798195	-0.254394778	1.106832218	0.30164567	-0.581777241	0.056043478
ENSRNA049466657	-0.099277584	0.18576539	0.138344773	0.044135459	0.45133253	0.254680443	-0.297090547	-0.061625568
ENSRNA049466664	-0.146075204	0.043403545	-0.041881984	-0.144003717	0.40435907	0.957684829	-0.184507541	0.302572722
ENSRNA049466676	-0.204888065	-0.149872995	-0.47152504	0.206757479	0.382997544	-0.234897609	-0.526713652	-0.097827851
ENSRNA049466686	0	0	0	0	0	0	0	0
ENSRNA049466693	0	0	0	0	0	0	0	0
ENSRNA049466701	0.291947979	0.151358961	0.280156618	0.306759839	-0.540982188	-0.336636544	-0.191865149	-0.476420696
ENSRNA049466709	-0.209187286	0.072047694	-0.187950604	0.611786547	0.254175847	0.104590785	-0.250530373	0.136067152
ENSRNA049466850	0.072015125	-0.027472957	0.379641409	-0.103307882	0.670486122	0	0.240627109	0.116281179
ENSRNA049467030	0	0	0	0	0	0	0	0
ENSRNA049467046	0	0	0	0	0	0	0	0
ENSRNA049467153	0	0	0	0	0	0	0	0
ENSRNA049467197	-0.175211618	0.148984965	-0.121689165	-0.244838194	-0.121731724	-0.347806133	-0.202635002	-0.165600034
ENSRNA049467206	-0.102045763	-0.027137319	0.661232747	-0.327298935	0.127378667	0.073826051	0.783753019	0.300558962
ENSRNA049467247	0	0	0	0	0	0	0	0.347644762
ENSRNA049467439	-0.105169607	0.254159027	0.015611079	0.218977402	-0.318629922	-0.275516649	0.001935735	-0.148352711
ENSRNA049467601	0	0	0	0	0	0	0	0
ENSRNA049467718	0	0	0	0	0	0	0	0
ENSRNA049468238	0.069060565	0.015485997	-0.003011649	0.194038508	0.011911924	-0.008076694	0.031239041	-0.057038026
ENSRNA049468327	-0.28109351	-0.100987937	0.138796649	-0.284422764	0.220955654	0	0	-0.085898694
ENSRNA049468366	0.059620174	0.027369751	-0.076644787	0.186899909	-0.247607114	0.141294616	0.559907483	0.309868941
ENSRNA049468514	0.194182776	0	0	0.24232663	0.2663575	-0.092116088	0	0
ENSRNA049468582	0.240260045	0.207846109	0.264730614	0	0	0	-0.06098509	0
ENSRNA049468588	0	0.127738754	0	0	0	0	0	-0.256261746
ENSRNA049468782	0	0	0	0	0	0	0	0
ENSRNA049468787	0	0	0	0	0	0	0	0
ENSRNA049468809	0	0	0	0	0	0	0	0
ENSRNA049468879	0	0	0	0	0	0	0	0
ENSRNA049468892	0.114130465	0.264939639	-0.096580235	0.153349246	0	-0.039035825	-0.045169418	0.208157666
ENSRNA049468913	-0.267958842	-0.497029023	0.379135713	0.042776632	0.60657026	-0.348896848	-0.178375451	-0.225307474
ENSRNA049468983	0	0	0	0	0	0	0	0
ENSRNA049469023	0	0	0.158569606	0.538776975	-0.153673351	-0.153673351	-0.003779317	-0.153673351
ENSRNA049469667	0	0	0	0	0	0	0	0
ENSRNA049469775	0.345771722	0.004575406	0.208305905	-0.119302504	-0.157633524	-0.098080793	0.105320588	-0.187005362
ENSRNA049469783	0.088045606	0	0	0	0	0	0	0
ENSRNA049470085	0.12741881	-0.014884986	-0.072215555	0	0.130163046	0.067546415	0.156813172	0.113668119
ENSRNA049470248	0	0.070476554	0.179529957	0.20333154	-0.235688825	0.08951636	-0.235688825	-0.235688825
ENSRNA049470257	0	0.137785623	0.526486727	0	0	0	0	0.378893729
ENSRNA049470263	0	0	0	0	0	0	0.31433271	0
ENSRNA049470306	0	0	0	0	-0.143988828	0	0	0
ENSRNA049470312	-0.095076433	-0.025283945	0.031857753	-0.139803765	0	0	0	-0.094217524
ENSRNA049470320	0	0	0	0	0	0	0	0
ENSRNA049470333	0.061435116	0.049293981	-0.372107391	0.141187	-0.564680011	-0.580195547	-0.593153973	-0.375534256
ENSRNA049470348	-0.068267574	-0.068267574	-0.068267574	-0.068267574	0	0	0	0
ENSRNA049470554	0.176215861	-0.338268896	-0.220000919	-0.457347165	0.044897334	-0.082268309	0.465714092	-0.434210185
ENSRNA049470569	-0.065154616	-0.053253788	-0.115769832	0.280756211	0	-0.189156524	0.331736176	0.119707726
ENSRNA049470615	-0.082837912	0.125131841	0	-0.085275615	0	0	0	0
ENSRNA049470674	-0.081315874	0.061314602	0.156191062	0.17689844	0	0	0	-0.076378145
ENSRNA049470723	0.021540695	-0.168025778	-0.094006388	0.543639119	-0.211996568	-0.187007385	-0.192245688	-0.037685466
ENSRNA049470793	0.308159623	0.007005084	0.679091575	0.961404565	1.06715954	-0.088591495	-0.088591495	0.078441658
ENSRNA049470799	-0.203628663	-0.170957112	-0.076704087	-0.203628663	0.198409158	0.153357932	0.534044859	-0.06471455
ENSRNA049470807	-0.208716913	0.195613846	-0.07862076	0.52800279	-0.227231252	0.186170715	-0.006727153	0.113264471
ENSRNA049470888	0	0	0	0	0	0	0	0
ENSRNA049470912	-0.038802044	-0.370645371	0.103108135	-0.347605692	-0.121115265	-0.19195132	-0.216655258	-0.27433608
ENSRNA049470918	0	0.142592098	0.181617514	0	0	0.174756713	0	0
ENSRNA049470931	-0.038761944	0	-0.089771711	0.282070405	0.089194878	0.046095677	0.07842326	0.035603104
ENSRNA049470937	0.725620161	0.346776933	1.566954546	1.890556415	0.673391941	0.222680363	0.202039543	-0.19737594
ENSRNA049470983	-0.17274567	-0.045938745	-0.17274567	-0.17274567	0.555297431	0.068430785	0.189269947	-0.241573136
ENSRNA049471008	-0.321632095	-0.367036672	-0.249804414	-0.37475538	-0.438526495	-0.173092279	-0.485796114	-0.256683995
ENSRNA049471190	-0.158037714	-0.100032565	-0.010277058	0.176662993	-0.088700807	0.337732075	0.196016465	0
ENSRNA049471198	0	-0.111498151	0.179529957	0.162507252	-0.090555255	0	0.200522591	0
ENSRNA049471617	-0.286550031	-0.267955928	-0.343753895	-0.412753368	1.589416132	0.734693506	-0.207275017	0.001985765
ENSRNA049471642	-0.08407141	0.109634918	-0.157501343	0.093979511	0.49417967	0.267703504	0.332045051	-0.003246472
ENSRNA049471654	-0.325352104	-0.309244927	0.208400475	-0.189110119	0.551792752	-0.081086258	-0.25326901	-0.044929953
ENSRNA049471660	-0.074689095	-0.171621321	0.141622519	-0.209850439	0.57618178	-0.02349897	-0.230680142	-0.212412335
ENSRNA049471804	-0.013003329	-0.013003329	-0.013003329	-0.013003329	0	0	0	0
ENSRNA049471996	0.549308104	0.115413869	3.367637107	0.168317702	-0.226560724	-0.19981899	0.717590281	0.011796338
ENSRNA049472005	0.51905516	-0.262175194	-0.131222067	-0.318492114	-0.425088818	-0.090026124	-0.229968878	-0.368581885
ENSRNA049472011	0.04901805	0.09474098	-0.558583493	0.058078389	0.979791222	-0.299388012	-0.080909456	-0.542999588
ENSRNA049472105	-0.160048726	0.071227816	-0.017510693	0.964419394	-0.187801543	-0.09256711	-0.2045327	-0.408184707
ENSRNA049472180	0.630838861	-0.087353172	-0.472515837	-0.261794041	1.318796557	-0.042590517	-0.492118113	-0.065137179
ENSRNA049472213	-0.360876718	-0.143288654	-0.576405797	0.639729182	1.192156016	0.320440362	-0.757292311	-0.229833373
ENSRNA049472265	0.03372794	0	0	0	0	0	0	0
ENSRNA049472360	0	0	0	-0.098094046	0	0	-0.08360577	-0.089622515
ENSRNA049472415	-0.476517108	-0.237656272	-0.341840429	-0.109479704	0.442454011	0.074263366	-0.404076	-0.237047149
ENSRNA049472421	-0.372565774	-0.133016621	-0.368665328	-0.022343275	0.09085838	0.114012456	-0.618050633	-0.284721166
ENSRNA049472536	-0.069231514	0.082654677	0	0	0	0	0	0
ENSRNA049472552	0	0.052405643	0	0	0	0	0.149106542	0.144109153
ENSRNA049472626	-0.070612264	0.05263056	-0.069186363	0	0	0	-0.061721842	-0.066277597
ENSRNA049472630	0	0	0	0	0.144565781	0	0	0.125358892
ENSRNA049472638	0.075431756	-0.372803854	0.843961875	0.419802093	-0.303979223	-0.368640856	0.214402814	-0.672544606
ENSRNA049472641	-0.020047507	-0.132367086	0.733948482	0.358217555	-0.36373694	-0.101752098	0.751322028	-0.36373694
ENSRNA049472786	-0.61827355	-0.452690854	-0.37127261	-0.365265193	-0.105634921	-0.398238882	-0.341892525	-0.144659751
ENSRNA049472795	-0.112253537	-0.101470684	0	-0.163721221	-0.156567052	-0.095686168	-0.179628659	0.10976642
ENSRNA049473080	0	0	0	0	0	0	0	0
ENSRNA049473105	0	0	0	0	0	0	0	0
ENSRNA049473133	0	0	0	0	0	0	0	0
ENSRNA049473166	0	0	0	0	0	0	0	0
ENSRNA049473210	0	0	0	0	0	0	0	0
ENSRNA049473241	0	0	0	0	0	0	0	0
ENSRNA049473254	0	0	0	0	0	0	0	0
ENSRNA049473286	-0.174299785	-0.168225542	-0.424282575	0.107130514	0.483812469	0.005626362	-0.449119971	-0.180914978
